0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",30160262,207809159,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",350163781,387842614,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7221778,151711718,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(ii)Other securities,24353722,297702399,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(i) Debt,946879865,1024467869,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(ii) Shares,220432578,376664178,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2511489,2953091,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,107695291,123665160,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",81457,4471753,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(iv) To foreign governments,22404144,22404144,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(v) Lease receivables,16345683,35884395,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,158044638,755700567,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,20385597,314678467,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,85604778,210882719,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,758586743,1014708588,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,757991922,1301788622,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,10013548,46076101,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,390463299,707078782,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(A) Insured,1447900,436806606,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,141141468,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(C) Uninsured,178238153,1348842755,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,351545,6967307,"Total All Banks, As At June 30, 2023, (in thousands of dollars), Total All Banks, As At June 30, 2023, (in thousands of dollars)"
