0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23911146,36938088,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",199018506,240011759,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7326764,117257476,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii)Other securities,18954182,204451341,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Debt,590867095,651005079,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) Shares,144244370,250760957,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4408591,4704783,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,73470422,83061007,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",66729,4402968,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,7371932,7371932,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(v) Lease receivables,14173751,29329284,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,123375898,640868949,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,21480495,267052805,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,49550606,157009035,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,622512248,844234084,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,539643248,886463056,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,6759247,32548404,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,269756887,477598829,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(A) Insured,1043160,482736337,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,190652755,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(C) Uninsured,113151111,807671557,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,667603,3616916,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) Non-residential,54528303,133332996,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1438527,98083497,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",7478037,16565761,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(a) Insurance-related assets,312853,8702561,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(b) Accrued interest,7299516,13811500,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(c) Prepaid and deferred charges,1908465,6878363,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(d) Goodwill,38454898,52472210,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) with definite lives,5939959,16697314,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) with indefinite lives,208608,5082505,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(f) Deferred tax assets,3707209,9520549,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(g) Derivatives related amounts,416892299,225690256,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,8404963,16969406,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Interests in associates and joint ventures,18229639,19939356,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(j) Other,57669501,120747280,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
Total  Assets,3106679533,6039379127,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(a) Federal and Provincial,1187018,17069231,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(b) Municipal or School Corporations,146548,27486136,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(c) Deposit-taking institutions,16963131,40798415,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Tax sheltered,3869069,97787480,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) Other,430266361,985403570,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(e) Other,401972070,909027098,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(a) Federal and Provincial,189602,4933756,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(b) Municipal or School Corporations,9120,6033099,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(c) Deposit-taking institutions,105261525,130042740,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Tax-sheltered,207828,108556270,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) Other,93425877,384916212,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(e) Others,916551250,1234006314,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
3. Cheques and other items in transit,996139,6223998,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
