0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",24995836,166347337,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",335761633,377593314,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8016057,169246189,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(ii)Other securities,26077481,317585287,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(i) Debt,1006768722,1087324116,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(ii) Shares,316641907,469948437,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2514532,4665301,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,108649749,124281520,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",49524,4937390,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,23082767,23082767,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(v) Lease receivables,16839154,36397106,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,155701611,763584800,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,21125228,317948822,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,82258944,208337963,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,805207946,1067980592,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,764476816,1381161920,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,9472907,45108528,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,406036598,776762392,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(A) Insured,1617419,431004501,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,149815157,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(C) Uninsured,189599790,1393516654,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,305401,7915823,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(ii) Non-residential,83561723,186006239,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",253537,49857359,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",15123271,33802092,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,24339,12798541,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(b) Accrued interest,19052665,34079681,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,2150863,8861433,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(d) Goodwill,48966362,64046009,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(i) with definite lives,8876406,22012649,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,11354,4941576,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,6885683,16563171,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,868806489,293242062,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,31229413,46125850,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,16609956,18775534,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(j) Other,127380522,215979927,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
Total  Assets,5015238928,8833665177,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,3580874,30375351,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(b) Municipal or School Corporations,152252,45776889,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(c) Deposit-taking institutions,21825321,80928091,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(i) Tax sheltered,6618836,100537417,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(ii) Other,510249487,1216961211,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(e) Other,694556540,1479258076,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,149,4483036,"Total All Banks, As At March 31, 2024, (in thousands of dollars), Total All Banks, As At March 31, 2024, (in thousands of dollars)"
