0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",26452531,41691003,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",206018757,242401082,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7530002,105009643,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
(ii)Other securities,19339820,209605087,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
(i) Debt,602898799,663706795,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
(ii) Shares,151000832,265564348,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4132528,4381128,"Total All Banks, As At May 31, 2019, (in thousands of dollars), Total All Banks, As At May 31, 2019, (in thousands of dollars)"
