0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",27790575,236165167,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",432325367,475358104,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,5789397,141644882,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii)Other securities,26963064,283722453,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Debt,933709420,1010192759,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii) Shares,185349384,333028725,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3910634,4427988,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,108228040,122866980,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",7451,4353931,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(iv) To foreign governments,23232226,23232226,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(v) Lease receivables,14929320,33416564,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,137266667,724207145,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,17118802,309212804,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,69729063,192568577,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,710697783,976647203,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,751113386,1260325704,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,10354870,51737146,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,390261888,680726884,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(A) Insured,1286538,441592045,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,133319603,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(C) Uninsured,154586881,1295831772,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,390768,6379542,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii) Non-residential,64908529,162828239,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",332477,91567300,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14298356,32746772,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(a) Insurance-related assets,238260,11673822,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(b) Accrued interest,12178165,23214290,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,1760585,8211755,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(d) Goodwill,36667684,51663243,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) with definite lives,6521709,19071149,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii) with indefinite lives,40456,4924631,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(f) Deferred tax assets,4772385,9173049,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(g) Derivatives related amounts,459019235,421844912,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,19174578,31439900,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Interests in associates and joint ventures,14285213,16798123,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(j) Other,138124763,195507937,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
Total  Assets,4289899296,8454058312,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(a) Federal and Provincial,3955086,31150421,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(b) Municipal or School Corporations,188139,45837296,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(c) Deposit-taking institutions,26983899,70125156,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Tax sheltered,7354219,113537681,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii) Other,551060945,1306279244,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(e) Other,716582089,1515835024,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(a) Federal and Provincial,209,5989879,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(b) Municipal or School Corporations,10771,10334113,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(c) Deposit-taking institutions,166440382,195661232,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Tax-sheltered,104013,125096995,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(ii) Other,108329756,521391036,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(e) Others,1354212288,1726561870,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
3. Cheques and other items in transit,30910842,5426298,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,1,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
5. Acceptances,333925,91751024,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
(i) Call and other short loans payable,9744001,9812875,"Total All Banks, As At November 30, 2022, (in thousands of dollars), Total All Banks, As At November 30, 2022, (in thousands of dollars)"
