0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23198360,38643638,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",204580255,245068017,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7049048,105937056,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(ii)Other securities,18714512,212929278,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(i) Debt,608545467,666450330,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(ii) Shares,162604226,281517979,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3321609,3979834,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,77045097,88185524,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",3935,4061169,"Total All Banks, As At October 31, 2019, (in thousands of dollars), Total All Banks, As At October 31, 2019, (in thousands of dollars)"
