0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",24080318,310547091,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",375101351,414001816,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,9094885,126065236,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(ii)Other securities,23554404,244888863,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(i) Debt,717793975,783397045,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(ii) Shares,238432051,376815627,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4039358,4714874,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,84746260,95640341,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",4306,3812557,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,22263300,22263300,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(v) Lease receivables,13968659,31314406,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,118414378,657460019,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,15028775,281892995,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,62698909,181794507,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,585872311,817653897,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,543390281,954131644,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,7036014,40678738,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,276587798,515872498,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(A) Insured,1246788,462251910,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,135487305,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(C) Uninsured,122013916,1127789467,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,451495,4972745,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(ii) Non-residential,58209645,151418502,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",979863,94052356,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",13913180,32150491,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,289755,11037176,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
(b) Accrued interest,5055790,11889345,"Total All Banks, As At October 31, 2021, (in thousands of dollars), Total All Banks, As At October 31, 2021, (in thousands of dollars)"
