0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",14786,13605361,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2902916,5412758,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,217825,6232167,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii)Other securities,969301,8832040,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Debt,5523358,6855905,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) Shares,122638,256039,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,772816,1705424,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,96838,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(v) Lease receivables,170465,1982879,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,388069,3840957,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,956,1527139,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,208097,777947,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,13953,10345645,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,8078393,31530481,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,509236,11823229,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,4791772,14151558,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(A) Insured,0,7314458,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,623784,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(C) Uninsured,0,29321126,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) Non-residential,0,2191135,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",17192,3700660,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6,339098,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(b) Accrued interest,39186,166103,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1339,237918,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(d) Goodwill,0,25948,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) with definite lives,0,147318,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(f) Deferred tax assets,66,264838,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,114058,4978793,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,15,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(j) Other,1143878,5760711,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
Total  Assets,20490245,145144615,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,29075,228810,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,123,109147,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,921527,2311522,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Tax sheltered,1065,673217,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) Other,5389854,24580571,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(e) Other,11088322,35488945,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(a) Federal and Provincial,547,3434,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,10000,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,736030,4839230,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Tax-sheltered,0,1753182,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) Other,2589969,14602819,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(e) Others,4727525,16153370,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
3. Cheques and other items in transit,57774,257189,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
5. Acceptances,17228,3716206,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Call and other short loans payable,0,75000,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) Other,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(b) Insurance-related liabilities,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(c) Accrued interest,33965,237546,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(d) Mortgages and loans payable,0,4843790,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Current,0,1807,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(ii) Deferred,0,416,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(f) Obligations related to borrowed securities,13920,4101494,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(g) Obligations related to assets sold under repurchase agreements,2305,4839928,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(h) Deferred income,10887,127947,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(i) Derivative related amounts,99543,5130960,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(j) Due to Head Office and related Canadian regulated Financial Institutions,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(k) Other,1318378,8741466,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
7. Subordinated debt,0,1070950,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
8. Shareholders' equity,8. Shareholders' equity,8. Shareholders' equity,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(a) Preferred shares,0,1100000,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(b) Common shares,0,4045507,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(c) Contributed surplus,0,221366,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(d) Retained earnings,,5739696,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(e) Non-controlling interests,0,0,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
(f) Accumulated Other Comprehensive Income (Loss),,139100,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
Total liabilities and shareholders' equity,27038037,145144615,"Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At April 30, 2021, (in thousands of dollars)"
