0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",25858,119257,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2450007,4033165,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,160993,9057858,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(ii)Other securities,1715380,19529778,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(i) Debt,7709474,9264876,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(ii) Shares,102227,996509,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,769601,1187321,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,72154,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(v) Lease receivables,217545,2154929,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,237327,4348091,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,3156,1795258,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,229741,1052403,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,940533,10736744,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,9624588,32342082,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,390305,9603800,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,5650496,15761469,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At August 31, 2019, (in thousands of dollars)"
