0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",17426,158479,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2893126,4552943,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,167461,8190458,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(ii)Other securities,1155380,14581297,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(i) Debt,8612347,9929986,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(ii) Shares,101261,1151939,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,874423,1381917,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",4,70047,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(v) Lease receivables,200306,2218317,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,237046,4297776,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,1701,1773777,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,229909,1010213,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,161319,8973094,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,9789775,35651627,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,438259,11049788,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,5974926,17257696,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(A) Insured,0,5930114,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,57321,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(C) Uninsured,0,26828134,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
(ii) Non-residential,0,2188768,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",10937,3500014,"Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At December 31, 2019, (in thousands of dollars)"
