0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",29207,153724,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2823901,4401856,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,239197,7589215,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(ii)Other securities,2329333,17627803,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(i) Debt,7340214,8227986,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(ii) Shares,81965,917161,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,755400,1360096,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,80992,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(v) Lease receivables,245399,1963686,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,216174,5401914,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,2948,1815132,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,207926,1118786,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,10073881,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,9077244,30747310,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,338402,8922885,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,5867067,15966980,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
(A) Insured,0,5362892,"Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 28, 2019, (in thousands of dollars)"
