0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",18036,78939,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",3341509,5036992,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,239392,6109286,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
(ii)Other securities,1235423,14516888,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
(i) Debt,7995333,9247150,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
(ii) Shares,102472,1210894,"Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At February 29, 2020, (in thousands of dollars)"
