0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15079,15078858,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2750519,5362616,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,221925,7191576,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(ii)Other securities,1066971,7548835,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) Debt,5350106,6561515,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(ii) Shares,132989,188588,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,1031014,1938494,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,73539,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(v) Lease receivables,183028,2021831,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,396979,3929553,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,918,1486550,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,223438,787127,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,28789,10953070,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,8591473,32886298,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,502648,12230559,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,5142457,14680315,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(A) Insured,0,7241859,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,483456,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(C) Uninsured,0,31279127,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(ii) Non-residential,0,2143405,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",10846,3517369,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6,327789,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(b) Accrued interest,39432,147510,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(c) Prepaid and deferred charges,1142,238507,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(d) Goodwill,0,25948,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) with definite lives,0,154374,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(f) Deferred tax assets,73,250734,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(g) Derivatives related amounts,612504,3904655,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,2010,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(j) Other,811974,3046872,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
Total  Assets,21244849,146014932,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,36052,928032,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,212,138881,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,993138,2343137,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) Tax sheltered,1576,1393954,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(ii) Other,5866388,25558142,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(e) Other,11345667,36408889,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(a) Federal and Provincial,556,2743,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(b) Municipal or School Corporations,0,10000,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(c) Deposit-taking institutions,695324,4211724,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
(i) Tax-sheltered,0,1662837,"Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At July 31, 2021, (in thousands of dollars)"
