0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15234,13444622,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2915006,5450284,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,219751,7600900,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
(ii)Other securities,978069,8038783,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
(i) Debt,5464084,6659125,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
(ii) Shares,124943,178875,"Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At June 30, 2021, (in thousands of dollars)"
