0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",-36583,2673767,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2134818,4348373,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,126537,15155770,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(ii)Other securities,818793,4599783,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(i) Debt,6770919,7214858,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(ii) Shares,150334,188923,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,1202763,1661899,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(v) Lease receivables,226749,2056872,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,270009,4113439,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,621,1384165,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,266962,716246,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,2035163,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,11475968,41747066,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,625082,15202377,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,5879218,16438795,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(A) Insured,0,7467479,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,964583,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(C) Uninsured,0,33094847,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,2335344,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,1711258,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",239,393314,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(b) Accrued interest,121199,435717,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(c) Prepaid and deferred charges,923,224767,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(d) Goodwill,0,25236,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(i) with definite lives,0,16264,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(f) Deferred tax assets,67,289417,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(g) Derivatives related amounts,1630135,3628561,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,8,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(j) Other,305351,2683381,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
Total  Assets,25198221,138101506,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(a) Federal and Provincial,20570,73234,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(b) Municipal or School Corporations,78,50545,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(c) Deposit-taking institutions,165740,1389650,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(i) Tax sheltered,1659,898134,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(ii) Other,3092391,15742071,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
(e) Other,8666243,30941788,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At March 31, 2024, (in thousands of dollars)"
