0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4410,116124,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2604701,4717059,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,66839,2064103,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(ii)Other securities,1350,1094220,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(i) Debt,1152062,1277232,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(ii) Shares,129575,174917,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,42239,45343,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(v) Lease receivables,0,0,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,265576,1807291,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,231,38165,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,265342,586505,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,1967613,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,2775477,6455450,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,900,323322,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,1595255,2671985,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(A) Insured,0,2190912,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(C) Uninsured,0,4732441,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
(ii) Non-residential,0,2251683,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",429,429,"Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At May 31, 2024, (in thousands of dollars)"
