0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15742,15436145,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2870518,4808885,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,171797,6887040,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii)Other securities,1144562,11104205,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) Debt,6852232,8117948,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii) Shares,113739,671624,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii) To regulated financial institutions,878977,1843122,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,51306,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(v) Lease receivables,195825,2093303,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(vi) To individuals for non-business purposes,207361,3722389,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,1032,1643407,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,204941,768558,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(vii) Reverse repurchase agreements,8999,10298763,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(viii) To individuals and others for business purposes,8842943,32239857,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
Of (A) Secured by residential property,436075,11133234,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
which: (B) Secured by other than residential property,5272795,14915560,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(A) Insured,0,7465108,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,910361,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(C) Uninsured,0,27812384,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii) Non-residential,0,2227407,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",7196,3916629,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,392932,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(b) Accrued interest,50150,229842,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(c) Prepaid and deferred charges,1461,222136,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(d) Goodwill,0,25974,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) with definite lives,0,148618,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(f) Deferred tax assets,73,262438,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(g) Derivatives related amounts,2272502,6219422,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,910,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(j) Other,1061771,3627049,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
Total  Assets,24695848,149825436,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(a) Federal and Provincial,31010,373183,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,142,133301,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,792692,2315739,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) Tax sheltered,1685,643658,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii) Other,5136900,23020073,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(e) Other,11243924,35972410,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(a) Federal and Provincial,576,3045,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(c) Deposit-taking institutions,860540,5276790,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(i) Tax-sheltered,0,1878638,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
(ii) Other,3076615,17907949,"Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At November 30, 2020, (in thousands of dollars)"
