0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15872,15184133,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",2973971,5248084,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,216496,7592003,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(ii)Other securities,1032650,8544217,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(i) Debt,5118254,6201342,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(ii) Shares,109835,163705,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,779145,1750087,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,3683,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(v) Lease receivables,187317,2020352,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,398276,4003320,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,721,1469653,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,228274,764095,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(vii) Reverse repurchase agreements,28358,11871925,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(viii) To individuals and others for business purposes,8676642,33880831,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
Of (A) Secured by residential property,560422,12450982,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
which: (B) Secured by other than residential property,5132428,15085198,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars), Total Foreign Bank Subsidiaries, As At October 31, 2021, (in thousands of dollars)"
