Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",33183332,163150311,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",294646491,334832705,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,8220654,155981123,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii)Other securities,29860412,316311141,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) Debt,1001577911,1080505964,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii) Shares,271735778,411951032,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",2776700,3486034,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii) To regulated financial institutions,107809731,123365631,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",71498,5067644,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(iv) To foreign governments,23121675,23121675,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(v) Lease receivables,17197173,36533828,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(vi) To individuals for non-business purposes,158750752,771803317,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,21648542,320626893,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,84153071,210816002,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(vii) Reverse repurchase agreements,694113175,949783276,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(viii) To individuals and others for business purposes,783295134,1417428034,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
Of (A) Secured by residential property,8928444,30235125,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
which: (B) Secured by other than residential property,419860061,807435600,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(A) Insured,1646200,430636562,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,152566409,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(C) Uninsured,193534644,1401644037,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(D) Reverse Mortgages,308476,8013558,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
(ii) Non-residential,85657729,188889810,"Total All Banks, As At April 30, 2024, (in thousands of dollars), Total All Banks, As At April 30, 2024, (in thousands of dollars)"
