Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",25194292,227336034,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",384648620,421334648,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7600129,141987312,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(ii)Other securities,25704368,268925939,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(i) Debt,881493482,953076525,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(ii) Shares,156943988,296172491,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3788188,4270269,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,101610465,114787733,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",17251,3371927,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,23174898,23174898,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(v) Lease receivables,14444613,32533629,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,133138276,712224092,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,16189946,306383278,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,69260801,191025039,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,673234082,913404623,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,700549302,1191440359,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,8855468,48773894,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,358652914,639672058,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(A) Insured,1201810,442133490,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,132796198,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(C) Uninsured,145588523,1273349101,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,411966,6167924,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(ii) Non-residential,62213775,159876455,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",513331,92710881,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",13914744,32204692,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(a) Insurance-related assets,255492,10816997,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(b) Accrued interest,8906186,18028123,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,1476954,8237144,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(d) Goodwill,34790741,49726539,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(i) with definite lives,4779403,17269627,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(ii) with indefinite lives,39504,4924551,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(f) Deferred tax assets,4420966,7864217,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(g) Derivatives related amounts,933692920,432945700,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,19598054,32180441,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(i) Interests in associates and joint ventures,15618154,18147563,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
(j) Other,141788347,190734902,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
Total  Assets,4520752824,8101358826,"Total All Banks, As At August 31, 2022, (in thousands of dollars), Total All Banks, As At August 31, 2022, (in thousands of dollars)"
