Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",30104361,236834271,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",461565221,504669374,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,5106016,138222169,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(ii)Other securities,26452004,279902338,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(i) Debt,928300868,1003662354,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(ii) Shares,204525887,349440851,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3306780,3924742,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,111084562,124615445,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",7511,4512395,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(iv) To foreign governments,23825209,23825209,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(v) Lease receivables,15364217,34150744,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,139106080,725032181,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,17483931,309312403,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,69462743,191717623,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,736721651,1002788096,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,751111051,1269350810,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,9626272,50364955,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,391416146,687663796,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(A) Insured,1327728,440344863,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,135537956,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(C) Uninsured,158354416,1303631811,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(D) Reverse Mortgages,392847,6461738,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(ii) Non-residential,65935537,164014768,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",221647,93611075,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",14398289,32788625,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(a) Insurance-related assets,219950,11313064,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(b) Accrued interest,13508032,23684822,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(c) Prepaid and deferred charges,1905831,8806699,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(d) Goodwill,37024335,52122505,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(i) with definite lives,6555173,19109173,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(ii) with indefinite lives,40728,4947267,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(f) Deferred tax assets,4256003,9289674,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(g) Derivatives related amounts,360672511,420761763,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,16502181,29888153,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(i) Interests in associates and joint ventures,14868798,17406040,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
(j) Other,146569524,179316027,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
Total  Assets,4279334948,8518429046,"Total All Banks, As At December 31, 2022, (in thousands of dollars), Total All Banks, As At December 31, 2022, (in thousands of dollars)"
