Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",17439267,34493361,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",221942440,254085811,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7087176,113726330,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(ii)Other securities,19343361,197139982,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(i) Debt,582973455,642330159,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(ii) Shares,130111747,225108297,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4000923,4306657,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,71646223,80328708,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",58269,4378296,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,22959551,22959551,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(v) Lease receivables,13952119,29066642,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,121420665,637822974,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,21410170,265916809,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,48035611,155789004,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(vii) Reverse repurchase agreements,551579133,752446775,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(viii) To individuals and others for business purposes,509041426,838104332,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,5954024,31745164,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,248690783,447965379,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(A) Insured,999497,488819039,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,189227401,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(C) Uninsured,111200771,797247864,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(D) Reverse Mortgages,659414,3518383,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(ii) Non-residential,52390575,130952008,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",1341049,98113392,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",7353599,16257490,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(a) Insurance-related assets,283788,8637404,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(b) Accrued interest,6742415,12712505,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(c) Prepaid and deferred charges,1834649,6763852,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(d) Goodwill,37887925,51891978,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(i) with definite lives,5813410,16557333,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(ii) with indefinite lives,206489,5080266,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(f) Deferred tax assets,3500659,9551835,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(g) Derivatives related amounts,42315452,221828174,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,8575068,17232209,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(i) Interests in associates and joint ventures,17819227,19451084,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
(j) Other,71210240,109255887,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
Total  Assets,2643689982,5850168578,"Total All Banks, As At January 31, 2019, (in thousands of dollars), Total All Banks, As At January 31, 2019, (in thousands of dollars)"
