Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22237343,296165575,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",438923664,478455184,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,10165609,129913533,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(ii)Other securities,23198925,249059115,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(i) Debt,677276755,743111821,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(ii) Shares,239655263,377418216,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",3360709,3607219,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(ii) To regulated financial institutions,85070411,95506121,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",98225,3970106,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(iv) To foreign governments,23273081,23273081,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(v) Lease receivables,14319865,31656995,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
(vi) To individuals for non-business purposes,115265614,644148823,"Total All Banks, As At June 30, 2021, (in thousands of dollars), Total All Banks, As At June 30, 2021, (in thousands of dollars)"
