Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",23911146,36938088,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",199018506,240011759,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7326764,117257476,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii)Other securities,18954182,204451341,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(i) Debt,590867095,651005079,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) Shares,144244370,250760957,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4408591,4704783,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,73470422,83061007,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",66729,4402968,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,7371932,7371932,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(v) Lease receivables,14173751,29329284,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,123375898,640868949,"Total All Banks, As At March 31, 2019, (in thousands of dollars), Total All Banks, As At March 31, 2019, (in thousands of dollars)"
