Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22598195,37329543,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",187604130,223271229,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7253393,109689316,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
(ii)Other securities,19221489,204737567,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
(i) Debt,592597896,651297166,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
(ii) Shares,156423613,269443463,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At April 30, 2019, (in thousands of dollars), Total All Banks, As At April 30, 2019, (in thousands of dollars)"
