Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15521059,25722928,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",142225179,161959130,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,1035329,114424302,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(ii)Other securities,8493710,129274822,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(i) Debt,297994839,350741181,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(ii) Shares,51810762,219685782,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",11624809,13554243,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(ii) To regulated financial institutions,41511634,47762392,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",5413,4027113,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(iv) To foreign governments,10001580,10229362,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(v) Lease receivables,5947033,15136616,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(vi) To individuals for non-business purposes,76968292,516367516,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
Of (A) Secured by residential property,20067851,225294786,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
which: (B) Secured by other than residential property,33688482,96075179,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(vii) Reverse repurchase agreements,245733247,378849749,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(viii) To individuals and others for business purposes,219008487,420228105,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
Of (A) Secured by residential property,4211170,16797729,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
which: (B) Secured by other than residential property,112556352,241452917,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(A) Insured,603030,547168163,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,171685189,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(C) Uninsured,57078627,414091077,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(D) Reverse Mortgages,0,1145835,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(ii) Non-residential,23912472,70209356,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",928617,63672418,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6546262,14225348,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(a) Insurance-related assets,105397,5035278,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(b) Accrued interest,2582238,7053791,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(c) Prepaid and deferred charges,1684568,5487971,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(d) Goodwill,24314816,35717941,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(i) with definite lives,3485078,9964236,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(ii) with indefinite lives,30329,2761186,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(f) Deferred tax assets,5060483,9351833,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(g) Derivatives related amounts,306576584,223040736,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,6661357,11868537,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(i) Interests in associates and joint ventures,9864629,14866268,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
(j) Other,1966055,65241390,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
Total  Assets,1579281915,3908864605,"Total All Banks, As At August 31, 2013, (in thousands of dollars), Total All Banks, As At August 31, 2013, (in thousands of dollars)"
