Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22078898,37601397,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for impairment/expected credit losses",260838651,289685609,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,6504962,112558942,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(ii)Other securities,12926434,181200109,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment/expected credit losses where applicable","(b) Other securities, less allowance for impairment/expected credit losses where applicable","(b) Other securities, less allowance for impairment/expected credit losses where applicable","Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(i) Debt,522994140,575985280,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(ii) Shares,160949719,267390567,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment/expected credit losses","(a) Non-Mortgage Loans, less allowance for impairment/expected credit losses","(a) Non-Mortgage Loans, less allowance for impairment/expected credit losses","Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",6036048,7172528,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(ii) To regulated financial institutions,60673600,68300168,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",2803,4420072,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(iv) To foreign governments,22478986,22478986,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(v) Lease receivables,11313786,23036116,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(vi) To individuals for non-business purposes,110305748,610489326,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,20444817,250185494,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,46879873,148287920,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(vii) Reverse repurchase agreements,505415098,683342837,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(viii) To individuals and others for business purposes,416815589,722748212,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,5433412,31721880,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,208559492,397910353,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment/expected credit losses","(b) Mortgages, less allowance for impairment/expected credit losses","(b) Mortgages, less allowance for impairment/expected credit losses","Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
(A) Insured,931089,533358272,"Total All Banks, As At December 31, 2017, (in thousands of dollars), Total All Banks, As At December 31, 2017, (in thousands of dollars)"
