Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1833077,164978196,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",331614492,371869539,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,7380112,163247263,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
(ii)Other securities,26611623,321587157,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
(i) Debt,1004440081,1086333791,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
(ii) Shares,278653126,429892945,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At February 29, 2024, (in thousands of dollars), Total All Banks, As At February 29, 2024, (in thousands of dollars)"
