Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",21778052,33802808,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",204726467,225013440,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3219186,100766999,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(ii)Other securities,12153361,182377206,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(i) Debt,481415578,529854860,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(ii) Shares,99166988,232258019,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4281168,4847252,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(ii) To regulated financial institutions,58944789,67028870,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",9488,4226106,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(iv) To foreign governments,22279786,22334582,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(v) Lease receivables,10810657,21798343,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(vi) To individuals for non-business purposes,105884522,579210117,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,21996503,236004419,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,45336935,143219280,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(vii) Reverse repurchase agreements,377650594,545466917,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(viii) To individuals and others for business purposes,397411166,669432353,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,10839560,33964904,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,198880655,366864736,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(A) Insured,932200,568236725,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,182059162,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(C) Uninsured,83035823,587498488,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(D) Reverse Mortgages,0,1865410,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(ii) Non-residential,43625567,107131452,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",2512749,71028380,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",7793898,15788829,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(a) Insurance-related assets,209656,5385455,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(b) Accrued interest,4066545,8534641,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(c) Prepaid and deferred charges,1574761,5516705,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(d) Goodwill,32135272,43875885,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(i) with definite lives,5500997,14436455,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(ii) with indefinite lives,197872,2882655,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(f) Deferred tax assets,4826804,10392806,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(g) Derivatives related amounts,27492940,268805443,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,11902177,20595386,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(i) Interests in associates and joint ventures,14475902,16645430,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
(j) Other,66059504,90799297,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
Total  Assets,2106074469,5057837314,"Total All Banks, As At January 31, 2017, (in thousands of dollars), Total All Banks, As At January 31, 2017, (in thousands of dollars)"
