Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",22555632,35521934,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",220144285,244444813,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,2813264,98017237,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(ii)Other securities,12439985,176716320,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(i) Debt,459597687,506900003,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(ii) Shares,80636752,227379101,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",9585936,11121168,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(ii) To regulated financial institutions,61986546,68802509,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",9448,4590774,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(iv) To foreign governments,20941487,20995250,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(v) Lease receivables,10216357,20361145,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(vi) To individuals for non-business purposes,107831666,577827390,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
Of (A) Secured by residential property,22836912,234426150,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
which: (B) Secured by other than residential property,48652402,146144026,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(vii) Reverse repurchase agreements,351340935,527193321,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(viii) To individuals and others for business purposes,403412396,662731696,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
Of (A) Secured by residential property,8567227,25068614,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
which: (B) Secured by other than residential property,198083730,366864243,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(A) Insured,983668,577598619,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,173577569,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(C) Uninsured,80290727,540645742,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(D) Reverse Mortgages,0,1704984,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(ii) Non-residential,42653459,103670092,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",1628578,77864488,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",8472360,16575103,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(a) Insurance-related assets,90719,5477284,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(b) Accrued interest,3895185,8378365,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(c) Prepaid and deferred charges,1468584,5231023,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(d) Goodwill,32191493,43878633,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(i) with definite lives,5575192,14169317,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(ii) with indefinite lives,206846,2891822,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(f) Deferred tax assets,6169210,11693853,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(g) Derivatives related amounts,420313179,350310207,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,7838052,15936829,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(i) Interests in associates and joint ventures,14557816,16712789,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
(j) Other,46359036,95728594,"Total All Banks, As At July 31, 2016, (in thousands of dollars), Total All Banks, As At July 31, 2016, (in thousands of dollars)"
