Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",15174462,27397401,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",176022726,192180903,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3736497,85952400,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(ii)Other securities,8303356,144340324,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(i) Debt,326401942,378121074,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(ii) Shares,66183936,255987873,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",10930189,13533490,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(ii) To regulated financial institutions,47291156,54592729,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",73947,4276890,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(iv) To foreign governments,11586683,11619491,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(v) Lease receivables,6301450,15988393,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(vi) To individuals for non-business purposes,80215730,527313528,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
Of (A) Secured by residential property,20443895,225709015,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
which: (B) Secured by other than residential property,37046823,104247477,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(vii) Reverse repurchase agreements,277921707,426228530,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(viii) To individuals and others for business purposes,245615954,468602310,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
Of (A) Secured by residential property,6172836,18473986,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
which: (B) Secured by other than residential property,128670617,272630499,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(A) Insured,660948,540438787,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,172069338,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(C) Uninsured,58476810,446251490,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(D) Reverse Mortgages,0,1291842,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(ii) Non-residential,26143654,77124726,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",681484,66502879,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",6545848,14124217,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(a) Insurance-related assets,116372,4860854,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(b) Accrued interest,2653809,6599066,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(c) Prepaid and deferred charges,1209611,4920788,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(d) Goodwill,25533045,37072990,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(i) with definite lives,3784704,10973573,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(ii) with indefinite lives,30731,2757623,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(f) Deferred tax assets,5184574,10161503,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(g) Derivatives related amounts,32509178,220206256,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,7178418,12132371,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(i) Interests in associates and joint ventures,10114907,13356973,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
(j) Other,40478546,60741889,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
Total  Assets,1497062374,4135653163,"Total All Banks, As At June 30, 2014, (in thousands of dollars), Total All Banks, As At June 30, 2014, (in thousands of dollars)"
