Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",27213345,38447916,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",241095559,264429142,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,4256187,113841040,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(ii)Other securities,11930831,183863350,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(i) Debt,482794825,534620245,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(ii) Shares,109700687,245388897,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",4710651,6293857,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(ii) To regulated financial institutions,64967720,73556183,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",8454,4324629,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(iv) To foreign governments,22485348,22539931,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(v) Lease receivables,11111442,22148246,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(vi) To individuals for non-business purposes,107819290,583595373,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,22149101,238712034,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,45883558,143482449,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(vii) Reverse repurchase agreements,427173663,607808603,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(viii) To individuals and others for business purposes,401919500,685533615,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
Of (A) Secured by residential property,10929686,34824971,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
which: (B) Secured by other than residential property,200773062,375449313,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At March 31, 2017, (in thousands of dollars), Total All Banks, As At March 31, 2017, (in thousands of dollars)"
