Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",19100714,31710913,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",253366229,274343963,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3378636,104374005,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(ii)Other securities,9008017,167408421,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(i) Debt,462965143,512059004,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(ii) Shares,71858516,214212452,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",8160940,9407118,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(ii) To regulated financial institutions,62245790,69242325,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",398855,4938083,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(iv) To foreign governments,20210839,20262512,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(v) Lease receivables,10091675,20547103,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(vi) To individuals for non-business purposes,107344920,573720833,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
Of (A) Secured by residential property,23345911,232297903,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
which: (B) Secured by other than residential property,48728215,146093100,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(vii) Reverse repurchase agreements,364568625,535726134,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(viii) To individuals and others for business purposes,402487356,656105584,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
Of (A) Secured by residential property,8891530,24875850,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
which: (B) Secured by other than residential property,205140025,357422769,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","(b) Mortgages, less allowance for impairment","Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(A) Insured,983477,572400620,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,171028896,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(C) Uninsured,79565211,527966838,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(D) Reverse Mortgages,0,1668329,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(ii) Non-residential,42033108,101814109,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowances for impairment",1652619,79370845,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",8626315,16628034,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
6. Other assets,6. Other assets,6. Other assets,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(a) Insurance-related assets,89118,5287399,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(b) Accrued interest,4009266,9092737,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(c) Prepaid and deferred charges,1471834,5168914,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(d) Goodwill,32537130,44228496,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(i) with definite lives,5637001,14075372,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(ii) with indefinite lives,223780,2908755,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(f) Deferred tax assets,6413758,11927232,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(g) Derivatives related amounts,404698757,309365346,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,7341059,16478251,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(i) Interests in associates and joint ventures,14449019,16714564,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
(j) Other,41085207,93160797,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
Total  Assets,2446002914,5022315088,"Total All Banks, As At May 31, 2016, (in thousands of dollars), Total All Banks, As At May 31, 2016, (in thousands of dollars)"
