Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",17769006,26863493,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",198422371,217774148,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3897252,87240740,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(ii)Other securities,9332537,150312312,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(i) Debt,325501846,376530462,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(ii) Shares,74031935,261491170,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",12527524,14719970,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(ii) To regulated financial institutions,49117164,56666165,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",115665,4568222,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(iv) To foreign governments,13943349,13977394,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(v) Lease receivables,7102049,17175442,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
(vi) To individuals for non-business purposes,86211568,538011492,"Total All Banks, As At November 30, 2014, (in thousands of dollars), Total All Banks, As At November 30, 2014, (in thousands of dollars)"
