Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",17238004,27775927,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowances for impairment",173379434,188940428,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,3573409,82654149,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(ii)Other securities,8985861,144431638,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
"(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","(b) Other securities, less allowance for impairment","Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(i) Debt,319100847,370936296,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(ii) Shares,65914109,251340579,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","(a) Non-Mortgage Loans, less allowance for impairment","Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",10238380,12483400,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(ii) To regulated financial institutions,47639637,54356341,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",107622,4350458,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(iv) To foreign governments,13486342,13520102,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(v) Lease receivables,6979194,17014691,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
(vi) To individuals for non-business purposes,84922309,535131311,"Total All Banks, As At October 31, 2014, (in thousands of dollars), Total All Banks, As At October 31, 2014, (in thousands of dollars)"
